report_id,company_inn,year,proceeds,profit,total_assets,current_assets_total,stocks,receivables,bankroll,uncurrent_assets_total,fixed_assets,total_liabilities,capitals,long_term_duties_total,long_term_duties_others,short_term_liabilities_total,borrowed_funds,accounts_payable,sustainability,solvency,profitability
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,2025,60746000,,39448000,,,24998000,14451000,,,39448000,22836000,,,,,10292000,,,
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,2024,7618000,,6768000,,,6531000,237000,,,6768000,838000,,,,,3495000,,,
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,2023,0,,0,,,0,0,,,0,0,,,,,0,,,
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,2025,,-6518000,358998000,121259000,0,35079000,48245000,237739000,0,358998000,289043000,42909000,42909000,27046000,0,26841000,,,
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,2024,,-1645000,109426000,14430000,0,3629000,5026000,94996000,374000,109426000,-5865000,62739000,62739000,52552000,39315000,13028000,,,
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,2023,,-23349000,2809723000,2806868000,126288000,2654827000,43000,2855000,561000,2809723000,2540684000,32501000,449000,236538000,186305000,50050000,,,
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,2025,806284000,7894000,18696000,18696000,8394000,10302000,,,,18696000,10834000,,,7862000,,7862000,,,
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,2024,761280000,6390000,16350000,16350000,4507000,11843000,1000,,,16350000,5136000,,,11214000,,11214000,,,
c74003f6-3186-5bc9-b5c6-210103a5c4a6,9721159668,2023,569240000,5830000,13204000,13204000,3241000,9963000,15000,,,13204000,4781000,,,8423000,,8423000,,,
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,2025,2943000,,533000,,118000,389000,26000,,,533000,36000,,,,101000,396000,,,
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,2024,624000,,538000,,118000,394000,26000,,,538000,15000,,,,101000,422000,,,
3acd71e3-f0a3-5027-97f9-5159e331a8a0,3100037306,2023,0,,0,,0,0,0,,,0,0,,,,0,0,,,
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,2025,0,,8046000,,,647000,49000,,7350000,8046000,6794000,,,,102000,623000,,,
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,2024,350000,,8343000,,,601000,392000,,7350000,8343000,64000,,,,0,7476000,,,
86d3d016-6766-5c10-ae7a-6b9c3c94a5d5,7813664770,2023,6750000,6664000,7569000,190000,,81000,138000,7350000,7350000,7569000,10000,,,1335000,0,7476000,,,
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,2025,79827000,437000,83136000,78107000,62688000,9086000,19000,5029000,2669000,83136000,2798000,79000,,80260000,2000,79287000,0.04,1.04,0.5
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,2024,7326000,1597000,6290000,5450000,3756000,1377000,316000,840000,600000,6290000,2527000,10000,,3753000,0,3753000,,,
3e1a38f8-86a9-57d8-ac93-4e0919ba9bec,1660266560,2023,8237000,,2702000,1742000,1130000,487000,124000,960000,0,2702000,878000,0,,1824000,0,1824000,,,
3ba911ed-15b4-5e00-9a32-07dee2546fa7,5261137785,2025,255799000,,91188000,,40837000,14473000,156000,,2377000,91188000,1825000,,,,12000,85832000,,,
3ba911ed-15b4-5e00-9a32-07dee2546fa7,5261137785,2024,1047000,27000,8990000,8990000,6955000,1930000,105000,,0,8990000,31000,,,8959000,0,8959000,,,
3ba911ed-15b4-5e00-9a32-07dee2546fa7,5261137785,2023,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,
ed1c6e84-d967-593b-9b4e-d28688af74ef,7103029029,2025,3208000,,3661000,,,3380000,281000,,,3661000,2649000,,,,,1012000,,,
ed1c6e84-d967-593b-9b4e-d28688af74ef,7103029029,2024,3496000,,3624000,,,3349000,275000,,,3624000,2375000,,,,,1249000,,,
ed1c6e84-d967-593b-9b4e-d28688af74ef,7103029029,2023,2549000,,3096000,,,2910000,186000,,,3096000,1114000,,,,,1982000,,,
