report_id,company_inn,item_index,year,federal_law_code,tender_admitted_count,tender_winner_count,contract_signed_count,contract_signed_amount
4c66584d-4c34-5d00-b2e6-10250f9b938d,5029069967,0,2024,ФЗ223,,5,0,0
4c66584d-4c34-5d00-b2e6-10250f9b938d,5029069967,1,2024,ФЗ94,,2,2,
4c66584d-4c34-5d00-b2e6-10250f9b938d,5029069967,2,2025,ФЗ223,,1,0,0
4c66584d-4c34-5d00-b2e6-10250f9b938d,5029069967,3,2026,ФЗ223,,0,0,0
13aeae32-9ff4-57a1-ae06-9b24c193afd3,7816085851,0,2024,ФЗ94,,78,78,28761983
13aeae32-9ff4-57a1-ae06-9b24c193afd3,7816085851,1,2025,ФЗ94,,16,16,30198560
13aeae32-9ff4-57a1-ae06-9b24c193afd3,7816085851,2,2026,ФЗ94,,7,7,5793758
e6fa7bf3-b4a3-5b59-b0bd-9e66a928131f,6164137887,0,2024,ФЗ94,,4,4,546135220
e6fa7bf3-b4a3-5b59-b0bd-9e66a928131f,6164137887,1,2025,ФЗ94,,8,8,104520659
cec51940-3d5c-59fb-9e90-1b97be6f512e,2466275727,0,2025,ФЗ94,,2,1,909650
cec51940-3d5c-59fb-9e90-1b97be6f512e,2466275727,1,2026,ФЗ94,,2,3,32708964
53b98f17-76f4-580e-a522-93f3b9364e70,2016003057,0,2025,ФЗ94,,1,1,21760771
ffb3db49-f1e3-5c42-8446-23815f3ff738,6731007348,0,2025,ФЗ94,,3,2,3333335
ffb3db49-f1e3-5c42-8446-23815f3ff738,6731007348,1,2026,ФЗ94,,3,4,4621835
6634710c-504b-51f0-8436-6ba9b12c5c55,3123346195,0,2024,ФЗ94,,1,1,540000
a8110af7-d22c-5fe2-b280-e052af603901,8905068592,0,2025,ФЗ223,,0,0,0
