report_id,company_inn,subject_inn,item_type,item_index,name,related_inn,related_ogrn,role,position,code,description,share,amount,date_from,active,registration_date,address,phone_type,phone_code,phone_number,auth_person_name,auth_person_position,details_json
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,founder,0,ШИРИКОВ ЕВГЕНИЙ ЛЕОНИДОВИЧ,130801590508,,founder,,,,100,10000,2024-01-14T21:00:00.000Z,True,,,,,,,,"{""name"":""ШИРИКОВ ЕВГЕНИЙ ЛЕОНИДОВИЧ"",""inn"":""130801590508"",""amount"":10000,""share"":100,""dateFrom"":{""$date"":""2024-01-14T21:00:00.000Z""},""active"":true}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,director,0,ШИРИКОВ ЕВГЕНИЙ ЛЕОНИДОВИЧ,130801590508,,director,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,,,,,2024-01-14T21:00:00.000Z,,,,,,,,,"{""name"":""ШИРИКОВ ЕВГЕНИЙ ЛЕОНИДОВИЧ"",""positionName"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР"",""inn"":""130801590508"",""positionDate"":{""$date"":""2024-01-14T21:00:00.000Z""}}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,related_company,0,ИП ШИРИКОВ ЕВГЕНИЙ ЛЕОНИДОВИЧ,130801590508,318169000023932,related_company,,,,,,,,,,,,,,,"{""inn"":""130801590508"",""ogrn"":""318169000023932"",""name"":""ИП ШИРИКОВ ЕВГЕНИЙ ЛЕОНИДОВИЧ""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,0,,,,main,,43.99.7,Работы по сборке и монтажу сборных конструкций,,,,,,,,,,,,"{""code"":""43.99.7"",""description"":""Работы по сборке и монтажу сборных конструкций""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,1,,,,other,,43.32.3,"Производство работ по внутренней отделке зданий (включая потолки, раздвижные и съемные перегородки и т.д.)",,,,,,,,,,,,"{""code"":""43.32.3"",""description"":""Производство работ по внутренней отделке зданий (включая потолки, раздвижные и съемные перегородки и т.д.)""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,2,,,,other,,25.11,"Производство строительных металлических конструкций, изделий и их частей",,,,,,,,,,,,"{""code"":""25.11"",""description"":""Производство строительных металлических конструкций, изделий и их частей""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,3,,,,other,,52.10,Деятельность по складированию и хранению,,,,,,,,,,,,"{""code"":""52.10"",""description"":""Деятельность по складированию и хранению""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,4,,,,other,,43.22,"Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха",,,,,,,,,,,,"{""code"":""43.22"",""description"":""Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,5,,,,other,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,,,,,,,,,,,,"{""code"":""16.23"",""description"":""Производство прочих деревянных строительных конструкций и столярных изделий""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,6,,,,other,,25.12,Производство металлических дверей и окон,,,,,,,,,,,,"{""code"":""25.12"",""description"":""Производство металлических дверей и окон""}"
